dataset,id,rel_kind,n,n_bound,pct_bound
kaiser,Musicmatic,dependency,2,1,50.0
kaiser,Musicmatic,association_class,0,0,0.0
kaiser,OnlineTutoringSystem,association,4,4,100.0
kaiser,OnlineTutoringSystem,directed,2,2,100.0
kaiser,OnlineTutoringSystem,inheritance,4,4,100.0
kaiser,OnlineTutoringSystem,composition,6,4,66.67
kaiser,OnlineTutoringSystem,aggregation,0,0,0.0
kaiser,OnlineTutoringSystem,dependency,0,0,0.0
kaiser,OnlineTutoringSystem,association_class,0,0,0.0
kaiser,PizzaDeliveryWithEntertainment,association,7,7,100.0
kaiser,PizzaDeliveryWithEntertainment,directed,0,0,0.0
kaiser,PizzaDeliveryWithEntertainment,inheritance,4,4,100.0
kaiser,PizzaDeliveryWithEntertainment,composition,0,0,0.0
kaiser,PizzaDeliveryWithEntertainment,aggregation,0,0,0.0
kaiser,PizzaDeliveryWithEntertainment,dependency,2,1,50.0
kaiser,PizzaDeliveryWithEntertainment,association_class,0,0,0.0
kaiser,ProjectManagement,association,6,5,83.33
kaiser,ProjectManagement,directed,0,0,0.0
kaiser,ProjectManagement,inheritance,0,0,0.0
kaiser,ProjectManagement,composition,0,0,0.0
kaiser,ProjectManagement,aggregation,0,0,0.0
kaiser,ProjectManagement,dependency,4,4,100.0
kaiser,ProjectManagement,association_class,0,0,0.0
kaiser,School,association,3,3,100.0
kaiser,School,directed,0,0,0.0
kaiser,School,inheritance,4,2,50.0
kaiser,School,composition,1,0,0.0
kaiser,School,aggregation,1,1,100.0
kaiser,School,dependency,2,2,100.0
kaiser,School,association_class,0,0,0.0
kaiser,SellingGoods,association,9,9,100.0
kaiser,SellingGoods,directed,0,0,0.0
kaiser,SellingGoods,inheritance,0,0,0.0
kaiser,SellingGoods,composition,0,0,0.0
kaiser,SellingGoods,aggregation,0,0,0.0
kaiser,SellingGoods,dependency,0,0,0.0
kaiser,SellingGoods,association_class,0,0,0.0
kaiser,Sightseeing,association,4,4,100.0
kaiser,Sightseeing,directed,0,0,0.0
kaiser,Sightseeing,inheritance,2,0,0.0
kaiser,Sightseeing,composition,0,0,0.0
kaiser,Sightseeing,aggregation,0,0,0.0
kaiser,Sightseeing,dependency,2,2,100.0
kaiser,Sightseeing,association_class,0,0,0.0
kaiser,SmartHomeAutomationSystem,association,10,8,80.0
kaiser,SmartHomeAutomationSystem,directed,0,0,0.0
kaiser,SmartHomeAutomationSystem,inheritance,7,5,71.43
kaiser,SmartHomeAutomationSystem,composition,10,8,80.0
kaiser,SmartHomeAutomationSystem,aggregation,0,0,0.0
kaiser,SmartHomeAutomationSystem,dependency,0,0,0.0
kaiser,SmartHomeAutomationSystem,association_class,0,0,0.0
kaiser,Sober,association,5,4,80.0
kaiser,Sober,directed,0,0,0.0
kaiser,Sober,inheritance,4,4,100.0
kaiser,Sober,composition,0,0,0.0
kaiser,Sober,aggregation,0,0,0.0
kaiser,Sober,dependency,2,1,50.0
kaiser,Sober,association_class,0,0,0.0
kaiser,StudentAppointment,association,4,4,100.0
kaiser,StudentAppointment,directed,0,0,0.0
kaiser,StudentAppointment,inheritance,0,0,0.0
kaiser,StudentAppointment,composition,0,0,0.0
kaiser,StudentAppointment,aggregation,0,0,0.0
kaiser,StudentAppointment,dependency,4,4,100.0
kaiser,StudentAppointment,association_class,0,0,0.0
kaiser,TeamSportsScoutingSystem,association,0,0,0.0
kaiser,TeamSportsScoutingSystem,directed,4,4,100.0
kaiser,TeamSportsScoutingSystem,inheritance,4,0,0.0
kaiser,TeamSportsScoutingSystem,composition,9,8,88.89
kaiser,TeamSportsScoutingSystem,aggregation,0,0,0.0
kaiser,TeamSportsScoutingSystem,dependency,0,0,0.0
kaiser,TeamSportsScoutingSystem,association_class,0,0,0.0
kaiser,TileOGame,association,1,1,100.0
kaiser,TileOGame,directed,5,5,100.0
kaiser,TileOGame,inheritance,8,8,100.0
kaiser,TileOGame,composition,7,4,57.14
kaiser,TileOGame,aggregation,0,0,0.0
kaiser,TileOGame,dependency,0,0,0.0
kaiser,TileOGame,association_class,0,0,0.0
kaiser,TransportCompany,association,9,9,100.0
kaiser,TransportCompany,directed,0,0,0.0
kaiser,TransportCompany,inheritance,4,4,100.0
kaiser,TransportCompany,composition,0,0,0.0
kaiser,TransportCompany,aggregation,0,0,0.0
kaiser,TransportCompany,dependency,4,1,25.0
kaiser,TransportCompany,association_class,0,0,0.0
kaiser,TreatmentPlans,association,17,11,64.71
kaiser,TreatmentPlans,directed,0,0,0.0
kaiser,TreatmentPlans,inheritance,0,0,0.0
kaiser,TreatmentPlans,composition,0,0,0.0
kaiser,TreatmentPlans,aggregation,0,0,0.0
kaiser,TreatmentPlans,dependency,2,2,100.0
kaiser,TreatmentPlans,association_class,0,0,0.0
kaiser,TruckLogistics,association,0,0,0.0
kaiser,TruckLogistics,directed,6,3,50.0
kaiser,TruckLogistics,inheritance,3,2,66.67
kaiser,TruckLogistics,composition,1,1,100.0
kaiser,TruckLogistics,aggregation,0,0,0.0
kaiser,TruckLogistics,dependency,0,0,0.0
kaiser,TruckLogistics,association_class,0,0,0.0
kaiser,University,association,3,1,33.33
kaiser,University,directed,0,0,0.0
kaiser,University,inheritance,3,1,33.33
kaiser,University,composition,1,1,100.0
kaiser,University,aggregation,1,1,100.0
kaiser,University,dependency,2,0,0.0
kaiser,University,association_class,0,0,0.0
kaiser,eHome2020,association,0,0,0.0
