dataset,id,n_chars,n_words,n_sentences,n_unique_words_lower,type_token_ratio,avg_word_length,avg_sentence_length_words,spacy_n_tokens,spacy_n_sents_spacy,spacy_n_nsubj,spacy_n_nsubjpass,spacy_n_dobj,spacy_n_verbs,spacy_n_nouns,spacy_n_adjectives,spacy_n_noun_chunks,spacy_n_entities,spacy_entity_types,spacy_passive_ratio,spacy_avg_dep_children_per_token,spacy_avg_dep_path_length,spacy_n_unique_lemmas,style_passive_nsubjpass,style_active_nsubj,style_modal_count,style_hedge_count,style_named_entities,style_passive_ratio,style_hedge_density,style_modal_density,style_entity_density,n_classes,n_enums,n_implicit_classes,n_attributes,n_relationships,n_rels_with_card,n_rels_with_label,n_rels_association,n_rels_aggregation,n_rels_inheritance,n_rels_composition,n_rels_dependency,cov_classes_n,cov_classes_L1,cov_classes_L2,cov_classes_L3,cov_classes_L4,cov_classes_absent,cov_attrs_n,cov_attrs_L1,cov_attrs_L2,cov_attrs_L3,cov_attrs_L4,cov_attrs_absent,cov_enum_n,cov_enum_absent,cov_rel_src_absent,cov_rel_tgt_absent,n_attrs_total,n_attrs_bound,pct_attrs_bound,n_rels_total,n_rels_bound,pct_rels_bound,avg_hop_class_attr,avg_hop_rel,time_diagram_s,time_idx_s,time_match_s,time_class_attr_s,time_rel_s,time_depgraph_s,n_parser_warnings,n_rels_directed,n_rels_association_class
kaiser,OnlineTutoringSystem,1719,300,21,136,0.4533,4.56,14.29,347,14,15,5,12,32,101,16,81,11,DATE:3;ORDINAL:1;ORG:1;PERCENT:2;TIME:4,0.3333,0.96,32.0,112,5,15,9,9,11,0.25,0.0259,0.0259,0.0317,12,3,0,15,16,12,4,4.0,,4.0,6.0,,12,83.33,83.33,83.33,83.33,16.67,15,86.67,86.67,86.67,93.33,6.67,10,10.0,6.25,6.25,15,11,73.33,16,13,81.25,2.182,1.0,0.0004,0.0498,0.0013,0.313,0.0572,0.0361,0,2.0,
kaiser,PizzaDeliveryWithEntertainment,3447,590,36,232,0.3932,4.663,16.39,703,30,53,6,43,74,182,35,168,21,CARDINAL:3;DATE:1;GPE:2;MONEY:3;NORP:1;ORDINAL:3;ORG:5;PRODUCT:1;TIME:2,0.1132,0.957,32.0,206,6,53,19,15,21,0.1017,0.0213,0.027,0.0299,9,0,0,24,13,7,0,7.0,,4.0,,2.0,9,88.89,88.89,88.89,100.0,0.0,24,95.83,95.83,95.83,91.67,4.17,0,0.0,0.0,0.0,24,19,79.17,13,11,84.62,2.367,2.25,0.0004,0.0953,0.0012,0.7013,0.09,0.0722,0,,
kaiser,ProjectManagement,1022,167,10,87,0.521,4.976,16.7,194,10,11,4,9,26,60,12,46,9,CARDINAL:3;ORG:6,0.3636,0.948,32.0,75,4,11,2,2,9,0.2667,0.0103,0.0103,0.0464,7,0,1,0,10,6,0,6.0,,,,4.0,7,85.71,100.0,85.71,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,10,7,70.0,0.0,1.778,0.0003,0.031,0.0005,0.0203,0.0234,0.0206,0,,
kaiser,School,959,172,15,91,0.5291,4.436,11.47,196,13,15,5,7,18,52,9,50,8,CARDINAL:6;DATE:1;ORDINAL:1,0.3333,0.934,32.0,76,5,15,4,4,8,0.25,0.0204,0.0204,0.0408,9,0,0,9,11,5,1,3.0,1.0,4.0,1.0,2.0,9,77.78,100.0,77.78,88.89,0.0,9,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,9,5,55.56,11,6,54.55,3.022,1.375,0.0003,0.0313,0.0006,0.0511,0.0225,0.0207,0,,
kaiser,SellingGoods,3317,565,28,225,0.3982,4.747,20.18,645,28,41,15,41,109,135,31,144,10,CARDINAL:7;DATE:1;ORDINAL:1;ORG:1,0.3659,0.957,32.0,197,15,41,9,9,10,0.2679,0.014,0.014,0.0155,8,0,0,9,9,9,0,9.0,,,,,8,100.0,100.0,100.0,100.0,0.0,9,66.67,66.67,66.67,88.89,11.11,0,0.0,0.0,0.0,9,6,66.67,9,9,100.0,1.414,1.0,0.0003,0.0918,0.0009,0.2838,0.0844,0.0658,0,,
kaiser,Sightseeing,528,96,6,50,0.5208,4.396,16.0,107,6,7,4,7,15,30,5,29,1,CARDINAL:1,0.5714,0.944,32.0,43,4,7,3,2,1,0.3636,0.0187,0.028,0.0093,7,0,0,8,8,4,0,4.0,,2.0,,2.0,7,71.43,100.0,71.43,85.71,0.0,8,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,8,6,75.0,8,5,62.5,2.643,2.167,0.0003,0.0174,0.0004,0.023,0.0132,0.0119,0,,
kaiser,SmartHomeAutomationSystem,1851,290,23,148,0.5103,5.179,12.61,348,16,14,8,12,39,104,26,76,5,NORP:2;ORG:2;PERSON:1,0.5714,0.954,32.0,131,8,14,10,9,5,0.3636,0.0259,0.0287,0.0144,17,5,0,9,27,20,17,10.0,,7.0,10.0,,17,88.24,94.12,88.24,94.12,5.88,9,88.89,88.89,88.89,88.89,0.0,13,0.0,7.41,7.41,9,8,88.89,27,20,74.07,1.907,1.619,0.0006,0.0539,0.0021,0.1453,0.0465,0.0358,0,,
kaiser,Sober,2397,428,18,179,0.4182,4.467,23.78,517,18,27,3,23,52,174,12,125,15,CARDINAL:4;PERCENT:2;PERSON:8;PRODUCT:1,0.1111,0.965,32.0,157,3,27,9,9,15,0.1,0.0174,0.0174,0.029,9,0,0,19,11,5,6,5.0,,4.0,,2.0,9,88.89,88.89,88.89,100.0,0.0,19,89.47,89.47,89.47,89.47,10.53,0,0.0,0.0,0.0,19,17,89.47,11,8,72.73,2.38,2.556,0.0004,0.0735,0.001,0.3626,0.0639,0.0567,0,,
kaiser,StudentAppointment,667,112,5,55,0.4911,4.857,22.4,121,5,7,2,7,12,32,7,31,2,CARDINAL:2,0.2857,0.959,32.0,47,2,7,3,3,2,0.2222,0.0248,0.0248,0.0165,6,0,0,0,8,4,0,4.0,,,,4.0,6,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,8,6,75.0,0.0,2.75,0.0002,0.0191,0.0003,0.0138,0.015,0.0144,0,,
kaiser,TeamSportsScoutingSystem,1383,238,13,114,0.479,4.668,18.31,269,8,9,5,10,28,80,16,67,2,ORDINAL:1;ORG:1,0.5556,0.97,32.0,105,5,9,2,2,2,0.3571,0.0074,0.0074,0.0074,11,4,0,11,17,13,1,,,4.0,9.0,,11,90.91,90.91,90.91,90.91,9.09,11,63.64,90.91,63.64,100.0,0.0,13,0.0,23.53,23.53,11,9,81.82,17,12,70.59,2.176,1.417,0.0004,0.0451,0.0013,0.1322,0.0446,0.0292,0,4.0,
kaiser,TileOGame,2114,393,18,146,0.3715,4.244,21.83,449,18,27,5,26,52,130,21,108,11,CARDINAL:5;LAW:1;ORDINAL:3;PERSON:2,0.1852,0.96,32.0,124,5,27,4,4,11,0.1562,0.0089,0.0089,0.0245,16,2,0,13,21,13,13,1.0,,8.0,7.0,,16,100.0,100.0,100.0,100.0,0.0,13,69.23,69.23,69.23,61.54,30.77,6,66.67,0.0,0.0,13,9,69.23,21,15,71.43,2.192,1.389,0.0004,0.0635,0.0021,0.6371,0.104,0.0476,0,5.0,
kaiser,TransportCompany,1999,348,21,158,0.454,4.624,16.57,394,21,27,8,15,46,97,20,99,2,CARDINAL:2,0.2963,0.947,32.0,134,8,27,5,5,2,0.2286,0.0127,0.0127,0.0051,11,1,1,24,17,9,1,9.0,,4.0,,4.0,11,100.0,100.0,100.0,100.0,0.0,24,79.17,83.33,79.17,91.67,8.33,4,0.0,11.76,11.76,24,14,58.33,17,14,82.35,2.632,1.929,0.0005,0.0593,0.0017,0.2384,0.0475,0.0421,0,,
kaiser,TreatmentPlans,1414,219,13,115,0.5251,5.274,16.85,260,13,16,4,9,36,68,14,63,1,CARDINAL:1,0.25,0.95,32.0,102,4,16,5,4,1,0.2,0.0154,0.0192,0.0038,14,0,0,2,19,17,0,17.0,,,,2.0,14,85.71,85.71,85.71,85.71,14.29,2,100.0,100.0,100.0,100.0,0.0,0,0.0,21.05,21.05,2,1,50.0,19,12,63.16,1.444,1.923,0.0006,0.0395,0.0009,0.0534,0.035,0.0281,0,,
kaiser,TruckLogistics,753,128,11,71,0.5547,4.75,11.64,146,11,9,4,9,16,47,5,46,6,CARDINAL:5;ORDINAL:1,0.4444,0.925,32.0,64,4,9,0,0,6,0.3077,0.0,0.0,0.0411,7,1,1,7,10,7,6,,,3.0,1.0,,7,57.14,71.43,57.14,71.43,28.57,7,85.71,85.71,85.71,85.71,14.29,3,100.0,30.0,30.0,7,6,85.71,10,6,60.0,2.467,2.167,0.0003,0.0233,0.0007,0.0269,0.0177,0.0162,0,6.0,
kaiser,University,811,141,13,75,0.5319,4.546,10.85,171,13,7,10,4,17,48,8,47,5,CARDINAL:1;DATE:1;GPE:1;ORG:1;TIME:1,1.4286,0.924,32.0,69,10,7,1,1,5,0.5882,0.0058,0.0058,0.0292,9,0,0,15,10,5,2,3.0,1.0,3.0,1.0,2.0,9,55.56,88.89,55.56,88.89,11.11,15,86.67,86.67,86.67,86.67,13.33,0,0.0,0.0,0.0,15,6,40.0,10,4,40.0,2.658,2.5,0.0003,0.0289,0.0011,0.0459,0.0207,0.02,0,,
kaiser,eHome2020,2550,407,29,187,0.4595,5.098,14.03,488,26,27,6,23,44,151,29,125,15,CARDINAL:3;GPE:1;ORDINAL:1;ORG:7;PERSON:1;WORK_OF_ART:2,0.2222,0.947,32.0,168,6,27,7,5,15,0.1818,0.0102,0.0143,0.0307,8,1,1,15,10,8,1,,,2.0,1.0,,8,75.0,75.0,75.0,87.5,12.5,15,93.33,93.33,93.33,80.0,6.67,2,0.0,0.0,0.0,15,12,80.0,10,7,70.0,2.562,2.143,0.0003,0.0739,0.0007,0.2294,0.0578,0.052,0,7.0,
reference,LabTracker,3197,571,40,192,0.3363,4.466,14.28,645,31,35,8,27,53,182,33,153,11,CARDINAL:2;DATE:5;ORDINAL:1;ORG:1;TIME:2,0.2286,0.952,32.0,170,8,35,10,8,11,0.186,0.0124,0.0155,0.0171,14,3,0,0,20,8,0,8.0,,2.0,10.0,,14,78.57,78.57,78.57,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14,57.14,0.0,0.0,0,0,0.0,20,15,75.0,0.0,1.8,0.0005,0.0822,0.0012,0.0668,0.0879,0.0684,0,,
